"ID","Dir","Length","Field_1","FRAN_DATUM","allCykelbana","TILL_DATUM","SHAPE_LEN","dist","AB_BilSkyltHast","BA_BilSkyltHast","remove","GC_samtl","Link Type","Riktning","Dir2","Tunnel","Motorväg","Motortrafikled","Förbjuden färdriktning","Skaft","Skaft_ID","bridge","AB_slope","BA_slope","AB_höjd10-35","BA_höjd10-35","AB_höjd35-50","BA_höjd35-50","AB_höjd>50","BA_höjd>50","GCM_typ","NyCykelBana","NyCykelFält","BreddaLänk","link_type","cykelbana","cykelfält","gångbana","trappa","annan cykel","ID_copy","N_ickebostad","AB_nedlutning","BA_nedlutning","AB_upplutning","BA_upplutning","AB_cykelspeed","BA_cykelspeed","AB_cykelrestid","BA_cykelrestid","From Z","To Z","AB_GK_Dansk","BA_GK_Dansk","AB_GK_Broach","BA_GK_Broach","AB_förbjud","BA_förbjud","N_lane","bredd","bredd_typ","AB_MättFlöden","BA_MättFlöden","count_stations","From ID","To ID"
5589803,0,0.013372,,20060510,0,99991231,13.37482358680,0.00000000000,30.00000000000,,,,0,"Med",1,,,,"Mot",0,,0.000000,54.580161,-54.580161,0.000000,0.000000,0.000000,0.000000,0.730000,0.000000,0,,,,3,0,0,0,0,0,5589803,1,0.000000,5.458016,5.458016,0.000000,14.261498,20.079056,0.056270,0.039966,3.810000,4.540000,0.060351,0.059544,0.059544,0.020057,0,1,4,14.000000,6,,,,104949,105078
5589809,0,0.033518,,20060510,0,99991231,33.56212805480,0.00000000000,,30.00000000000,,,0,"Mot",-1,,,,"Med",0,,0.000000,55.419605,-55.419605,0.000000,0.000000,0.000000,0.000000,1.860000,0.000000,0,,,,3,0,0,0,0,0,5589809,1,0.000000,5.541961,5.541961,0.000000,13.938746,20.405164,0.144470,0.098687,3.470000,5.330000,0.317538,0.035429,0.035429,0.050277,1,0,4,14.000000,6,,,,92264,84843
5589848,0,0.022910,,20160817,0,99991231,22.92121412540,0.00011119470,30.00000000000,30.00000000000,,,0,"Mot",-1,,,,,0,,0.000000,46.681643,-46.681643,0.000000,0.000000,1.070000,0.000000,0.000000,0.000000,0,"Skeppsbron -Norrgående",,,3,0,0,0,0,0,5589848,1,0.000000,4.668164,4.668164,0.000000,14.206055,19.404551,0.096809,0.070874,3.470000,4.540000,0.168841,0.025444,0.025444,0.034365,1,0,4,14.000000,6,,,,92264,105078
5589876,0,0.021779,,20130701,0,99991231,21.79569426000,0.00000000000,,,,,2,,,,,,"Mot",0,,0.000000,10.093738,-10.093738,0.220000,0.000000,0.000000,0.000000,0.000000,0.000000,2,"Skeppsbron - södergående",,,2,0,1,0,0,0,5589876,1,0.000000,1.009374,1.009374,0.000000,14.617548,15.735913,0.089464,0.083106,2.570000,2.790000,0.012993,0.007369,0.007369,0.026788,0,0,1,1.500000,1,,,,99239,69596
5589888,0,0.021657,,20060510,0,99991231,21.67511773890,0.00000000000,50.00000000000,,,,0,"Med",1,,,,"Mot",0,,0.000000,8.765814,-8.765814,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,,,,3,0,0,0,0,0,5589888,0,0.000000,0.876581,0.876581,0.000000,14.656101,15.626806,0.088735,0.083223,2.800000,2.990000,0.031856,0.123990,0.123990,0.032485,0,1,4,14.000000,6,,,,152561,104948
5589796,0,0.012474,,20060510,0,99991231,12.52176361420,0.00000000000,30.00000000000,,,,0,"Med",1,,,,"Mot",0,,0.000000,63.090151,-63.090151,0.000000,0.000000,0.000000,0.000000,0.790000,0.000000,0,,,,3,0,0,0,0,0,5589796,1,0.000000,6.309015,6.309015,0.000000,14.221261,20.918967,0.052830,0.035915,4.540000,5.330000,0.062416,0.053508,0.053508,0.018711,0,1,4,14.000000,6,,,,105078,84843
5589784,0,0.011911,,20060510,0,99991231,11.96938026820,0.00000000000,30.00000000000,,,,0,"Med",1,,,,"Mot",0,,0.000000,28.405828,-28.405828,0.340000,0.000000,0.000000,0.000000,0.000000,0.000000,0,,,,3,0,0,0,0,0,5589784,0,0.000000,2.840583,2.840583,0.000000,14.464632,17.472375,0.049650,0.041103,4.990000,5.330000,0.025644,0.061237,0.061237,0.017867,0,1,4,14.000000,6,,,,84842,84843
5589833,0,0.005111,,20060510,0,99991231,5.12832653005,0.00000000000,30.00000000000,30.00000000000,,,0,"Med och mot",0,,,,"Med",0,,0.000000,-25.349422,25.349422,0.000000,0.130000,0.000000,0.000000,0.000000,0.000000,0,,,,3,0,0,0,0,0,5589833,0,2.534942,0.000000,0.000000,2.534942,17.084947,14.487540,0.018010,0.021239,3.940000,3.810000,0.006466,0.010615,0.010615,0.010503,0,0,4,14.000000,6,,,,99240,104949
5589839,0,0.023068,,20130701,0,99991231,23.06656448650,0.00000000000,,,,,3,,,,,,"Mot",0,,0.000000,49.855716,-49.855716,0.000000,0.000000,1.150000,0.000000,0.000000,0.000000,3,"Skeppsbron - södergående",,,2,0,1,0,0,0,5589839,0,0.000000,4.985572,4.985572,0.000000,14.192799,19.748385,0.097514,0.070081,2.790000,3.940000,0.035097,0.006214,0.006214,0.028374,0,0,4,14.000000,6,,,,69596,99240
5589855,0,0.020176,,20060510,0,99991231,20.15148591270,0.00000000000,50.00000000000,,,,0,"Med",1,,,,"Mot",0,,0.000000,40.691785,-40.691785,0.000000,0.000000,0.820000,0.000000,0.000000,0.000000,0,,,,3,0,0,0,0,0,5589855,0,0.000000,4.069179,4.069179,0.000000,14.322818,18.797927,0.084417,0.064320,2.990000,3.810000,0.049166,0.095828,0.095828,0.030264,0,1,4,14.000000,6,,,,104948,104949
